                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82141,                0.93371,                0.86594,                0.89558,                 0.9894,                  0.995,                 0.6473,                 1.3673,                 1.0409,                 1.1132,              0.0004085,              0.0004085,              0.0004085
                     36,                0.84187,                 1.2868,                0.92798,                0.89558,                 0.9894,                  0.995,                 0.6473,                 1.3673,                 1.0409,                 1.1132,             0.00038375,             0.00038375,             0.00038375
                     37,                0.77617,                0.99992,                0.91785,                0.89558,                 0.9894,                  0.995,                 0.6473,                 1.3673,                 1.0409,                 1.1132,               0.000359,               0.000359,               0.000359
                     38,                0.77787,                0.95862,                0.87747,                0.89558,                 0.9894,                  0.995,                 0.6473,                 1.3673,                 1.0409,                 1.1132,             0.00033425,             0.00033425,             0.00033425
                     39,                0.78855,                 1.0878,                0.94413,                0.89558,                 0.9894,                  0.995,                 0.6473,                 1.3673,                 1.0409,                 1.1132,              0.0003095,              0.0003095,              0.0003095
                     40,                0.76001,                 1.0524,                0.90123,                0.84107,                      1,                  0.995,                0.69702,                 1.3189,                 1.0911,                 1.0933,             0.00028475,             0.00028475,             0.00028475
                     41,                0.73177,                 1.1421,                0.86827,                0.84107,                      1,                  0.995,                0.69702,                 1.3189,                 1.0911,                 1.0933,                0.00026,                0.00026,                0.00026
                     42,                0.90671,                 1.3792,                0.94366,                0.84107,                      1,                  0.995,                0.69702,                 1.3189,                 1.0911,                 1.0933,             0.00023525,             0.00023525,             0.00023525
                     43,                0.86903,                 1.1558,                0.88507,                0.84107,                      1,                  0.995,                0.69702,                 1.3189,                 1.0911,                 1.0933,              0.0002105,              0.0002105,              0.0002105
                     44,                 0.8673,                 1.5182,                0.93434,                0.84107,                      1,                  0.995,                0.69702,                 1.3189,                 1.0911,                 1.0933,             0.00018575,             0.00018575,             0.00018575
                     45,                0.66656,                 1.1118,                  0.878,                0.61194,                0.95964,                0.91167,                0.59727,                 1.2171,                 1.1337,                 1.0617,               0.000161,               0.000161,               0.000161
                     46,                0.80438,                 1.1911,                0.92215,                0.61194,                0.95964,                0.91167,                0.59727,                 1.2171,                 1.1337,                 1.0617,             0.00013625,             0.00013625,             0.00013625
                     47,                0.71486,                 1.1111,                0.86922,                0.61194,                0.95964,                0.91167,                0.59727,                 1.2171,                 1.1337,                 1.0617,              0.0001115,              0.0001115,              0.0001115
                     48,                 0.6448,                 1.0168,                0.84937,                0.61194,                0.95964,                0.91167,                0.59727,                 1.2171,                 1.1337,                 1.0617,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.71006,                 1.0537,                 0.8916,                0.61194,                0.95964,                0.91167,                0.59727,                 1.2171,                 1.1337,                 1.0617,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.70853,                0.99106,                0.86029,                0.59823,                0.98121,                0.91167,                0.63033,                 1.2029,                  1.131,                 1.0637,              3.725e-05,              3.725e-05,              3.725e-05
