                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.74236,                 1.0679,                 1.0529,                      0,                      0,                      0,                      0,                      0,                 331.85,                      0,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                0.70569,                0.84246,                 1.0483,                      0,                      0,                      0,                      0,                      0,                 407.89,                      0,             0.00015714,             0.00015714,             0.00015714
                      3,                 0.6727,                0.79601,                 1.0547,                      0,                      0,                      0,                      0,                      0,                 436.46,                      0,              0.0002335,              0.0002335,              0.0002335
                      4,                 0.7085,                 0.8485,                 1.0786,                      0,                      0,                      0,                      0,                      0,                 486.17,                      0,             0.00030409,             0.00030409,             0.00030409
                      5,                0.63364,                0.74466,                0.99331,                      0,                      0,                      0,                      0,                      0,                 437.14,                      0,              0.0003689,              0.0003689,              0.0003689
                      6,                0.71205,                 0.7761,                 1.0603,                      0,                      0,                      0,                      0,                      0,                 319.38,                      0,             0.00042794,             0.00042794,             0.00042794
                      7,                0.66405,                0.80474,                 1.0229,                      0,                      0,                      0,                      0,                      0,                 320.29,                      0,              0.0004812,              0.0004812,              0.0004812
                      8,                0.73447,                0.88224,                 1.0978,                      0,                      0,                      0,                      0,                      0,                 289.42,                      0,             0.00052869,             0.00052869,             0.00052869
                      9,                0.64892,                0.80218,                  1.015,                      0,                      0,                      0,                      0,                      0,                 297.02,                      0,              0.0005704,              0.0005704,              0.0005704
                     10,                0.70057,                0.77757,                 1.0405,                      0,                      0,                      0,                      0,                      0,                 349.39,                      0,             0.00060634,             0.00060634,             0.00060634
                     11,                0.69928,                0.84448,                 1.0115,                      0,                      0,                      0,                      0,                      0,                 351.92,                      0,              0.0006365,              0.0006365,              0.0006365
                     12,                0.66995,                0.82933,                 1.0561,                      0,                      0,                      0,                      0,                      0,                 258.92,                      0,             0.00066089,             0.00066089,             0.00066089
                     13,                0.68766,                0.84601,                 1.0376,                      0,                      0,                      0,                      0,                      0,                 236.74,                      0,              0.0006795,              0.0006795,              0.0006795
                     14,                0.72593,                0.79445,                 1.0395,                      0,                      0,                      0,                      0,                      0,                 204.27,                      0,             0.00069234,             0.00069234,             0.00069234
                     15,                0.66407,                0.78234,                 1.0174,                      0,                      0,                      0,                      0,                      0,                  206.4,                      0,              0.0006725,              0.0006725,              0.0006725
                     16,                0.67478,                0.74186,                 1.0347,                      0,                      0,                      0,                      0,                      0,                 203.42,                      0,             0.00063125,             0.00063125,             0.00063125
                     17,                 0.6881,                0.77487,                 1.0165,                      0,                      0,                      0,                      0,                      0,                 211.79,                      0,                0.00059,                0.00059,                0.00059
                     18,                0.69677,                0.96469,                 1.0654,                      0,                      0,                      0,                      0,                      0,                 247.42,                      0,             0.00054875,             0.00054875,             0.00054875
                     19,                0.71231,                0.83198,                 1.0639,                      0,                      0,                      0,                      0,                      0,                 240.88,                      0,              0.0005075,              0.0005075,              0.0005075
                     20,                 0.6447,                0.77956,                 1.0416,                      0,                      0,                      0,                      0,                      0,                 246.86,                      0,             0.00046625,             0.00046625,             0.00046625
                     21,                0.44608,                 0.7507,                0.86519,                      0,                      0,                      0,                      0,                      0,                 247.83,                      0,               0.000425,               0.000425,               0.000425
                     22,                0.46328,                0.71091,                 0.8922,                      0,                      0,                      0,                      0,                      0,                 215.91,                      0,             0.00038375,             0.00038375,             0.00038375
                     23,                0.47583,                0.68972,                0.89222,                      0,                      0,                      0,                      0,                      0,                 204.15,                      0,              0.0003425,              0.0003425,              0.0003425
                     24,                0.41279,                 0.6611,                0.86113,                      0,                      0,                      0,                      0,                      0,                 272.52,                      0,             0.00030125,             0.00030125,             0.00030125
                     25,                0.40441,                0.60918,                0.88108,                      0,                      0,                      0,                      0,                      0,                 312.05,                      0,                0.00026,                0.00026,                0.00026
                     26,                0.38703,                 0.5729,                0.86073,                      0,                      0,                      0,                      0,                      0,                  359.3,                      0,             0.00021875,             0.00021875,             0.00021875
                     27,                0.38258,                0.59799,                 0.8787,                      0,                      0,                      0,                      0,                      0,                 352.24,                      0,              0.0001775,              0.0001775,              0.0001775
                     28,                0.37022,                0.56505,                0.83148,                      0,                      0,                      0,                      0,                      0,                  338.2,                      0,             0.00013625,             0.00013625,             0.00013625
                     29,                0.33597,                0.56868,                0.85103,                      0,                      0,                      0,                      0,                      0,                 337.14,                      0,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                0.35664,                0.56635,                0.82974,                      0,                      0,                      0,                      0,                      0,                 335.97,                      0,              5.375e-05,              5.375e-05,              5.375e-05
