                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.80382,                 1.0297,                0.89171,                0.51742,                0.80225,                0.58042,                0.31801,                 1.5059,                 3.5358,                 1.1589,              0.0004085,              0.0004085,              0.0004085
                     36,                0.78964,                 1.0352,                0.88278,                0.51742,                0.80225,                0.58042,                0.31801,                 1.5059,                 3.5358,                 1.1589,             0.00038375,             0.00038375,             0.00038375
                     37,                0.78044,                 1.0442,                0.89655,                0.74239,                0.93387,                0.74625,                0.41748,                 1.5555,                  3.465,                 1.1532,               0.000359,               0.000359,               0.000359
                     38,                0.83247,                 1.0198,                0.86665,                0.74239,                0.93387,                0.74625,                0.41748,                 1.5555,                  3.465,                 1.1532,             0.00033425,             0.00033425,             0.00033425
                     39,                0.80308,                 1.0416,                0.91202,                0.74239,                0.93387,                0.74625,                0.41748,                 1.5555,                  3.465,                 1.1532,              0.0003095,              0.0003095,              0.0003095
                     40,                0.77424,                 1.0068,                0.85156,                0.63434,                0.59874,                 0.6965,                0.42843,                 1.5954,                 3.4676,                 1.1764,             0.00028475,             0.00028475,             0.00028475
                     41,                0.96391,                 1.3817,                0.90359,                0.63434,                0.59874,                 0.6965,                0.42843,                 1.5954,                 3.4676,                 1.1764,                0.00026,                0.00026,                0.00026
                     42,                0.90639,                 1.3397,                0.92702,                0.63434,                0.59874,                 0.6965,                0.42843,                 1.5954,                 3.4676,                 1.1764,             0.00023525,             0.00023525,             0.00023525
                     43,                0.87021,                 1.2044,                0.89341,                0.63472,                0.65721,                0.60941,                0.37863,                 1.6244,                 3.5587,                 1.2103,              0.0002105,              0.0002105,              0.0002105
                     44,                0.78128,                 1.1743,                0.88358,                0.63472,                0.65721,                0.60941,                0.37863,                 1.6244,                 3.5587,                 1.2103,             0.00018575,             0.00018575,             0.00018575
                     45,                 0.7505,                 1.1289,                0.90619,                0.63472,                0.65721,                0.60941,                0.37863,                 1.6244,                 3.5587,                 1.2103,               0.000161,               0.000161,               0.000161
                     46,                0.78649,                 1.1372,                0.85999,                0.63942,                0.59785,                0.60273,                0.37564,                 1.5671,                 3.5873,                 1.1953,             0.00013625,             0.00013625,             0.00013625
                     47,                0.72164,                   1.09,                0.86566,                0.63942,                0.59785,                0.60273,                0.37564,                 1.5671,                 3.5873,                 1.1953,              0.0001115,              0.0001115,              0.0001115
                     48,                0.70089,                 1.0784,                0.85309,                0.63942,                0.59785,                0.60273,                0.37564,                 1.5671,                 3.5873,                 1.1953,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.81099,                  1.164,                0.85765,                0.63942,                0.59785,                0.60273,                0.37564,                 1.5671,                 3.5873,                 1.1953,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.78183,                 1.0985,                0.87597,                0.63708,                0.59022,                0.59923,                0.38761,                 1.5439,                 3.6327,                 1.1938,              3.725e-05,              3.725e-05,              3.725e-05
